Futterart;Bestand;code;Aufwuchs;Stadium;TS [g];NEL    [MJ];NEV   [MJ];UE [MJ];APDE [g];APDN [g];OS [g];RP [g];RF [g];NDF [g];ADF   [g];Zucker [g];vOS [%];aRP [%];RA [g];Ca [g];P [g];Mg [g];K [g];Na [g];Cl  [g];S  [g];Cu  [mg];Fe  [mg];Mn  [mg];Zn  [mg];Co  [mg];Se  [mg]; [];Lysin [g/kg TS];Methionin [g/kg TS];Leucin [g/kg TS];Histidin [g/kg TS];Phenylalanin [g/kg TS];Threonin [g/kg TS];Isoleucin [g/kg TS];Valin [g/kg TS];Arginin [g/kg TS]
künstlich getrocknet;Italienisches Raigras;LM13-d;erster;3;880;6.3;6.6;10.7;94.0;58.4;915;92.2;216.2;432;250;274.3;77.6;54;84.0;4.1;2.9;1.3;30.2;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Italienisches Raigras;LM14-d;erster;4;880;5.6;5.7;9.7;80.2;42.1;919;67.6;253.6;472;291;258.8;70.3;52;80.9;4.0;2.3;1.2;23.6;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Italienisches Raigras;LM15-d;erster;5;880;4.8;4.6;8.5;68.3;34.6;926;55.9;265.9;507;301;253.7;61.4;51;77.5;3.9;1.9;1.1;21.1;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Wiesen-Fuchsschwanz;AP11-d;erster;1;880;6.4;6.6;10.9;125.3;125.3;912;187.8;220.1;466;254;150.4;78.0;59;87.3;2.9;4.3;1.4;33.1;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Wiesen-Fuchsschwanz;AP12-d;erster;2;880;5.9;6.0;10.2;113.4;107.5;913;162.8;268.0;542;303;96.1;73.8;58;86.4;2.8;3.9;1.3;33.2;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Wiesen-Fuchsschwanz;AP13-d;erster;3;880;4.9;4.8;8.7;92.2;77.3;913;118.1;300.7;612;343;82.1;63.7;55;86.8;2.6;3.2;1.3;31.1;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Wiesen-Fuchsschwanz;AP14-d;erster;4;880;3.9;3.5;7.2;75.0;65.4;916;102.2;345.4;668;386;61.3;52.1;54;82.8;2.6;2.9;1.2;30.1;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Wiesen-Fuchsschwanz;AP15-d;erster;5;880;3.4;2.9;6.4;64.7;56.4;917;87.8;358.5;687;400;59.4;46.0;53;82.4;2.5;2.4;1.2;26.3;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Weissklee;TR11-d;erster;1;880;6.6;6.8;11.1;151.1;191.2;871;283.7;108.2;236;165;84.5;80.0;62;125.1;14.6;4.2;1.8;33.1;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Weissklee;TR12-d;erster;2;880;6.5;6.7;11.0;144.9;175.8;879;261.9;131.7;261;192;73.6;79.1;62;121.7;14.5;4.2;1.9;34.7;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Weissklee;TR13-d;erster;3;880;6.4;6.7;10.9;141.9;173.0;884;255.8;140.0;262;201;75.0;78.4;62;115.9;14.6;4.1;1.9;36.0;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Weissklee;TR14-d;erster;4;880;6.2;6.3;10.5;135.4;160.9;885;239.3;159.2;265;218;96.4;76.2;62;121.1;14.7;4.0;2.0;37.1;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Weissklee;TR15-d;erster;5;880;5.8;5.9;10.0;126.5;143.2;880;213.6;186.1;294;255;73.0;72.8;60;120.1;14.8;3.8;2.0;37.9;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Rotklee;TP11-d;erster;1;880;6.2;6.4;10.7;142.5;167.6;891;247.1;125.4;229;166;95.6;75.8;61;108.7;13.8;3.7;2.6;29.9;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Rotklee;TP12-d;erster;2;880;6.3;6.4;10.7;135.6;149.5;896;222.2;155.5;269;208;97.3;76.8;60;103.9;14.2;3.4;2.6;31.3;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Rotklee;TP13-d;erster;3;880;6.1;6.2;10.4;125.3;131.7;899;196.4;177.3;303;225;99.8;75.0;60;101.1;14.5;3.2;2.6;29.6;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Rotklee;TP14-d;erster;4;880;5.4;5.4;9.5;109.2;105.7;903;157.9;234.0;379;301;110.0;69.3;58;97.0;14.5;2.6;2.5;27.8;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Rotklee;TP15-d;erster;5;880;5.0;4.9;8.9;101.6;100.3;904;150.8;263.4;418;328;95.0;64.7;57;96.7;14.4;2.3;2.4;25.4;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Luzerne;MS11-d;erster;1;880;6.3;6.5;10.7;133.3;183.2;880;280.7;124.1;198;159;80.5;76.7;66;120.4;18.5;4.0;3.0;37.4;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Luzerne;MS12-d;erster;2;880;6.1;6.2;10.4;127.9;174.0;879;266.6;161.0;252;206;63.1;74.7;66;121.0;17.4;4.3;2.8;36.2;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Luzerne;MS13-d;erster;3;880;5.8;5.9;10.1;120.8;160.8;881;246.4;197.1;313;257;51.7;72.3;66;119.3;16.5;4.2;2.7;35.8;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Luzerne;MS14-d;erster;4;880;5.4;5.4;9.5;111.6;145.5;886;223.5;250.3;376;315;46.4;67.8;66;114.2;15.8;3.8;2.5;32.4;;;;;;;;;;;;;;;;;;;
künstlich getrocknet;Luzerne;MS15-d;erster;5;880;4.9;4.7;8.7;99.0;124.3;894;191.8;309.1;440;366;47.1;61.9;65;106.1;15.4;3.5;2.3;30.6;;;;;;;;;;;;;;;;;;;
Grünfutter;G;G21-v;folgende;1;150;6.082195848;6.233121926;10.39585976;106.5010674;129.1418005;888.881462;193.4632057;233.5348602;446.3705956;269.0186141;87.79252933;75.49601824;71.99175185;111.118538;6.555298;4.301057548;2.32158;30.9752955;0.283215;4.652117333;2.52583;11.01999;200;96.851905;32.570165;0.15;0.02;;11.21702836;3.296951267;16.22001707;3.862735905;10.23648844;8.99538873;8.031427995;11.08415213;10.38942657
Grünfutter;G;G22-v;folgende;2;169.606;5.921840065;6.027580044;10.16806659;102.4953047;116.6807132;894.63328;174.9130375;240.1995572;454.0367826;274.9905535;94.18622827;74.01185631;70.48313923;105.36672;6.555298;4.062359846;2.11601;30.3452955;0.301375;4.957573333;2.26213;9.76792;125;87.529795;29.720165;0.05;0.02;;10.5823867;3.114175866;15.27522187;3.646156021;9.740220145;8.72007805;7.617141704;10.31090833;9.878090219
Grünfutter;G;G23-v;folgende;3;190;5.613477939;5.638491255;9.721037217;95.83435621;100.3593174;898.3903973;150.7759467;258.776133;486.3698177;294.9574875;88.25102861;71.23569708;68.4031324;101.6096027;6.555298;3.823662145;1.95044;28.8152955;0.309135;5.032789333;2.02693;8.74307;125;79.270565;27.370165;0.05;0.02;;9.2;2.75;13.3;3.15;8.5;7.8;6.6;9;8.5
Grünfutter;G;G24-v;folgende;4;200;5.379901722;5.342749801;9.381579405;90.60206881;88.47937636;902.5299509;133.29896;269.3105878;505.456451;312.97832;82.98410838;69.00305082;66.75561732;97.47004912;6.555298;3.584964443;1.82487;26.3852955;0.306495;4.877765333;1.82023;7.94544;125;72.074215;25.520165;0.05;0.02;;7.594190093;2.247401966;10.980011;2.607299466;6.951429266;6.179885031;5.421946178;7.394354575;7.073220971
Grünfutter;G;G25-v;folgende;5;210.415;4.915926;4.761687623;8.695208593;81.50052782;73.91198283;904.4430776;111.9041788;295.7683795;552.9394721;346.3896402;71.91465631;63.79483426;64.64644529;95.55692236;6.555298;3.346266741;1.7393;23.0552955;0.293455;4.492501333;1.64203;7.37503;75;65.940745;24.170165;0.05;0.02;;6.34984268;1.860216541;9.100407038;2.15355702;5.744629734;5.106477027;4.480376048;6.079968718;5.825597666
Grünfutter;GR;GR21-v;folgende;1;130;6.28257713;6.50593962;10.66090083;106.9726046;123.1403823;886.6462532;184.5075187;213.6026534;404.399251;247.7286757;122.656958;78.16815538;71.35754214;113.3537468;6.555298;4.301057548;2.32158;30.9752955;0.283215;5.861124;2.52583;10.309615;200;77.5159;31.07112;0.15;0.02;;10.68239564;2.964358769;15.31526913;3.818429718;9.3633366;8.288894081;7.678623156;10.47005671;9.351607563
Grünfutter;GR;GR22-v;folgende;2;150;6.210636736;6.407466458;10.5665856;104.5935247;114.3752847;894.373789;171.491604;218.4242772;414.059884;254.0245135;138.4363568;77.31734546;70.21260176;105.626211;6.555298;4.062359846;2.11601;30.3452955;0.301375;6.16658;2.26213;9.057545;125;68.19379;28.22112;0.05;0.02;;10.09828419;2.808128019;14.21916617;3.480802517;9.085205993;8.07915308;7.016294729;9.453737864;8.933405611
Grünfutter;GR;GR23-v;folgende;3;180;5.906429284;6.01835885;10.13439503;98.59889742;100.5993121;898.2555565;151.1294974;232.0334658;443.8926006;271.9430315;125.6934817;74.47178019;68.4361956;101.7444435;6.555298;3.823662145;1.95044;28.8152955;0.309135;6.241796;2.02693;8.032695;125;59.93456;25.87112;0.05;0.02;;8.6;2.6;12.5;3.05;8;7.2;6.047911191;8.4;8
Grünfutter;GR;GR24-v;folgende;4;200;5.541287363;5.541296399;9.622499647;92.4174432;89.18230886;907.6188416;134.35056;245.676199;474.8708046;292.8991025;114.5267032;70.44948557;66.78358009;92.38115836;6.555298;3.584964443;1.82487;26.3852955;0.306495;6.086772;1.82023;7.235065;125;52.73821;24.02112;0.05;0.02;;7.511050827;2.26017374;10.90210252;2.622874444;6.891126525;6.137793965;5.298095052;7.258194649;7.025271383
Grünfutter;GR;GR25-v;folgende;5;220;5.206546566;5.113718051;9.138217761;84.71278991;75.10746572;915;113.6991668;272.2978334;518.4525554;322.5857649;100.0048313;66.27155432;64.69520961;85;6.555298;3.346266741;1.7393;23.0552955;0.293455;5.701508;1.64203;6.664655;75;46.60474;22.67112;0.05;0.02;;6.406475129;1.809542125;9.155831088;2.235976215;5.765605556;5.102510392;4.494002717;6.090431253;5.740844212
Grünfutter;A;E21-v;folgende;1;140;6.132088674;6.304366452;10.45825749;107.5053762;132.6620708;883.2586042;198.7262668;208.4280912;389.5947388;248.6148913;86.35897315;76.24496054;72.46200647;116.7413958;8.247759;4.281164362;2.46633;32.4589545;0.213956667;4.652117333;2.52583;11.01999;200;96.851905;32.570165;0.15;0.02;;11.47315071;3.282166665;16.64900202;4.014002785;10.48371295;9.199646993;8.299438813;11.30681725;10.50247245
Grünfutter;A;E22-v;folgende;2;160;5.994265395;6.127379083;10.26321908;103.9616351;121.0321445;888.7975;181.3711511;215.4719228;398.4836379;254.8578105;96.85173664;74.96519223;71.08213506;111.2025;8.247759;4.022573473;2.26076;31.8289545;0.232116667;4.957573333;2.26213;9.76792;125;87.529795;29.720165;0.05;0.02;;10.65997923;3.095053607;15.40417796;3.76570653;9.894940696;8.854228646;7.804141982;10.54606834;9.835823508
Grünfutter;A;E23-v;folgende;3;170.063;5.653847492;5.694438479;9.774286778;97.58261653;106.5064138;892.4029825;159.8353317;232.6487407;427.1435122;274.2933379;89.11207934;71.73418161;69.27635297;107.5970175;8.247759;3.763982585;2.09519;30.2989545;0.239876667;5.032789333;2.02693;8.74307;125;79.270565;27.370165;0.05;0.02;;9.5;2.75;13.8;3.3;8.7;7.6;6.8;9.25;8.5
Grünfutter;A;E24-v;folgende;4;180;5.465200579;5.45229803;9.504112264;93.29947407;95.91322318;898.0831416;144.22222;244.2742912;445.4377185;292.37924;83.45321521;69.83759354;67.82377339;101.9168584;8.247759;3.505391696;1.96962;27.8689545;0.237236667;4.877765333;1.82023;7.94544;125;72.074215;25.520165;0.05;0.02;;8.093495124;2.352755021;11.74834799;2.836010022;7.417200222;6.63295483;5.874121738;8.001622747;7.430211671
Grünfutter;A;E25-v;folgende;5;200;5.113368498;5.011499497;8.9855996;86.17577785;82.5118372;900.015559;124.5198793;270.8784207;490.4024452;323.2064319;74.16921376;66.2496812;65.95266322;99.984441;8.247759;3.246800808;1.88405;24.5389545;0.224196667;4.492501333;1.64203;7.37503;75;65.940745;24.170165;0.05;0.02;;7.009326352;1.998064919;10.07334464;2.434455766;6.345240386;5.660842497;5.026004541;6.793682985;6.357851196
Grünfutter;AR;ER21-v;folgende;1;140;6.268717696;6.491363088;10.63764378;107.7761691;128.2588106;881.4793522;192.1396611;194.5012184;360.3614723;233.7927209;112.1125653;78.10710049;72.0129569;118.5206478;8.247759;4.281164362;2.46633;32.4589545;0.213956667;5.861124;2.52583;10.309615;200;77.5159;31.07112;0.15;0.02;;11.00630802;3.040761745;15.88107272;3.942917999;9.81195647;8.638463994;7.98250325;10.79129741;9.734758629
Grünfutter;AR;ER22-v;folgende;2;150;6.198887133;6.397525332;10.54408099;105.3597975;118.9797705;888.495159;178.317924;200.4413628;371.0023294;240.3711805;128.0657372;77.34715512;70.84869143;111.504841;8.247759;4.022573473;2.26076;31.8289545;0.232116667;6.16658;2.26213;9.057545;125;68.19379;28.22112;0.05;0.02;;10.24485868;2.87644596;14.57519291;3.631612625;9.386819293;8.365890733;7.345055166;9.90082253;9.136525124
Grünfutter;AR;ER23-v;folgende;3;160;5.916558053;6.035178275;10.14450641;99.97942883;106.3743979;892.6336303;159.6407766;214.9783888;398.132975;259.0318701;115.2954824;74.64518068;69.25630088;107.3663697;8.247759;3.763982585;2.09519;30.2989545;0.239876667;6.241796;2.02693;8.032695;125;59.93456;25.87112;0.05;0.02;;9.1;2.65;13;3.25;8.3;7.4;6.55;8.85;8.2
Grünfutter;AR;ER24-v;folgende;4;180;5.663871584;5.702241588;9.794104046;95.23844692;95.90173315;901.9396573;144.21802;229.1696469;425.9121837;279.5473625;106.0561536;71.80952164;67.76768667;98.06034275;8.247759;3.505391696;1.96962;27.8689545;0.237236667;6.086772;1.82023;7.235065;125;52.73821;24.02112;0.05;0.02;;7.971758796;2.344155768;11.59621722;2.827186501;7.318231188;6.55392291;5.745584177;7.849471256;7.333723617
Grünfutter;AR;ER25-v;folgende;5;200;5.270541005;5.20741712;9.218761828;87.6916826;82.67692058;903.0275796;124.7734521;255.0340955;466.3608939;306.6981486;94.28399063;67.74204892;65.93689324;96.97242037;8.247759;3.246800808;1.88405;24.5389545;0.224196667;5.701508;1.64203;6.664655;75;46.60474;22.67112;0.05;0.02;;6.980149685;1.945102113;10.01480608;2.473951749;6.315569409;5.616067258;4.991873385;6.737009228;6.236437345
Grünfutter;L;L21-v;folgende;1;130;6.46784383;6.73561427;10.93095461;114.1163393;152.3578694;876.0090692;228.3760999;168.320884;289.2552779;213.6999479;87.74880578;79.47153676;74.5332038;123.9909308;13.62216609;3.728652036;2.815250988;28.50985321;0.213956667;5.861124;2.792304298;11.01999;200;96.851905;32.570165;0.15;0.02;;12.81924567;2.793504994;17.87844666;4.708716803;11.20402818;9.658273767;9.21821628;12.20660732;10.65160414
Grünfutter;L;L22-v;folgende;2;139.648;6.270704096;6.479045688;10.65768929;110.1932036;139.9433988;882.51398;209.6487278;179.4518269;306.5619552;225.0507583;103.0508256;77.44865439;73.23160733;117.48602;13.62216609;3.503433997;2.580598226;27.94355953;0.232116667;6.16658;2.528704298;9.76792;125;87.529795;29.720165;0.05;0.02;;11.52375864;2.689256858;15.8438518;4.430168119;10.62626914;9.488410487;8.598733201;11.60865266;9.864759291
Grünfutter;L;L23-v;folgende;3;150;5.989122386;6.114485703;10.2629965;105.7934596;130.1496022;886.7012681;194.9682476;197.3258767;332.3241541;247.259266;98.61131215;74.56001638;72.13629707;113.2987319;13.62216609;3.278215958;2.391604415;26.56827487;0.239876667;6.241796;2.293704298;8.74307;125;79.270565;27.370165;0.05;0.02;;10.6;2.55;14.2;4.05;9.7;8.8;7.9;10.8;9.2
Grünfutter;L;L24-v;folgende;4;160;5.818163883;5.887807511;10.02792353;102.4949279;120.910181;895;181.19876;215.4693521;355.7423132;272.24126;88.21301791;72.61134592;70.97112509;105;13.62216609;3.052997919;2.248269555;24.38399924;0.237236667;6.086772;2.087304298;7.94544;125;72.074215;25.520165;0.05;0.02;;9.917240085;2.280496758;13;3.653987934;8.629333726;7.824997124;7.1063777;9.72230724;8.50818188
Grünfutter;L;L25-v;folgende;5;170;5.282418489;5.202302374;9.256948677;94.35283396;106.6986466;900.963047;160.1424943;251.4300831;412.9840723;304.7769186;77.8534715;67.00994463;69.17287926;99.036953;13.62216609;2.82777988;2.150593645;21.39073263;0.224196667;5.701508;1.909504298;7.37503;75;65.940745;24.170165;0.05;0.02;;8.824448373;1.895746383;12.08818195;3.213231864;7.550790917;6.738862068;6.228607073;8.3674733;7.413048016
Grünfutter;KF;DF21-v;folgende;1;120;6.154645702;6.372784515;10.44459972;105.1962226;122.9651874;867.5241338;184.2262329;157.5704501;281.5062097;210.312737;90.12446459;78.11778186;71.64372082;132.4758662;10.025686;4.511490358;3.03678;33.55209;0.213956667;4.652117333;2.52583;12.25874;200;77.5159;37.03438;0.15;0.02;;10.82524664;3.262902744;16.03964545;3.760667817;9.954742606;8.830015525;7.881025772;10.56695644;9.861256383
Grünfutter;KF;DF22-v;folgende;2;130;6.110385132;6.314351222;10.38411086;103.5709148;116.771088;871.56993;175.0070249;161.9694772;285.817022;214.7599535;110.4174662;77.67376572;70.85557279;128.43007;10.025686;4.232001715;2.83121;32.92209;0.232116667;4.957573333;2.26213;11.00667;125;68.19379;34.18438;0.05;0.02;;10.10144564;3.094327968;14.83200086;3.500568031;9.473436867;8.477420324;7.429329327;9.982346009;9.164631365
Grünfutter;KF;DF23-v;folgende;3;139.707;6.011038348;6.189992648;10.24027279;100.5598835;107.2521736;874.2180149;160.892055;168.9429505;295.8769064;222.3573512;92.53513866;76.90273626;69.64722174;125.7819851;10.025686;3.952513073;2.66564;31.39209;0.239876667;5.032789333;2.02693;9.98182;125;59.93456;31.83438;0.05;0.02;;9.1;2.751980366;13.4;3.15;8.6;7.7;6.720998755;9;8.090352301
Grünfutter;KF;DF24-v;folgende;4;150.306;5.950248596;6.108490673;10.15830706;98.53751076;100.6507007;879.4058759;151.14874;175.6772021;305.6174467;231.29104;86.10293384;76.22714286;68.72058353;120.5941241;10.025686;3.673024431;2.54007;28.96209;0.237236667;4.877765333;1.82023;9.18419;125;52.73821;29.98438;0.05;0.02;;8.366237473;2.636390003;12.39286917;2.892760857;7.863985087;7.072927349;6.230093864;8.455073813;7.587092191
Grünfutter;KF;DF25-v;folgende;5;160;5.630236113;5.696912278;9.704808007;93.73441741;93.19307641;881.1099797;140.1601279;191.0624374;325.1546545;244.5153443;83.234172;72.93508188;67.70054444;118.8900203;10.025686;3.393535788;2.4545;25.63209;0.224196667;4.492501333;1.64203;8.61378;75;46.60474;28.63438;0.05;0.02;;7.971538654;2.468239358;11.80178939;2.738193645;7.425355794;6.631884366;5.851585506;7.869583409;7.268745432
Grünfutter;KG;DT21-v;folgende;1;130;6.1967808;6.425436114;10.50559008;106.0330432;125.1053091;867.6634007;187.420474;172.2410525;305.9595244;222.1633889;103.0385539;78.46218216;71.88455111;132.3365993;14.62966318;4.736317922;2.92625122;33.58776883;0.213956667;4.652117333;2.628804604;12.25874;200;77.5159;37.03438;0.15;0.02;;10.2413266;3.516897664;15.8362165;3.64788065;9.911917342;8.679923011;8.063784615;11.01019516;9.823272951
Grünfutter;KG;DT22-v;folgende;2;140;5.864715144;5.997653886;10.03836316;100.6901558;113.9741207;870.7833605;170.8498663;176.0390935;312.4891296;225.6408402;105.7487061;75.12876921;70.53215557;129.2166395;14.62966318;4.450234848;2.682346526;32.9570989;0.232116667;4.957573333;2.365204604;11.00667;125;68.19379;34.18438;0.05;0.02;;9.776960309;3.285332342;14.79348557;3.441337675;9.365542626;8.29171779;7.583300386;10.31759028;9.196900075
Grünfutter;KG;DT23-v;folgende;3;150;5.543558838;5.576507885;9.591046155;97.58877692;112.9806322;873.8000412;169.3808921;186.2009782;339.6351868;236.9902733;103.903049;71.33367937;70.36377426;126.1999588;14.62966318;4.164151774;2.485901032;31.42547192;0.239876667;5.032789333;2.130204604;9.98182;125;59.93456;31.83438;0.05;0.02;;9.2;3.130802877;14;3.25;8.9;7.9;7.169629021;9.8;8.7
Grünfutter;KG;DT24-v;folgende;4;155;5.256642831;5.2075076;9.180071415;93.51911137;106.6404257;877.3754191;159.9945881;192.0326356;351.8188063;246.0968666;101.6601565;68.1609353;69.52132933;122.6245809;14.62966318;3.878068701;2.336914739;28.99288789;0.237236667;4.877765333;1.923804604;9.18419;125;52.73821;29.98438;0.05;0.02;;8.625533367;3.032629196;13.46988412;3.088816895;8.386520401;7.4321824;6.874524532;9.402441322;8.316663559
Grünfutter;KG;DT25-v;folgende;5;160;4.666106753;4.459119944;8.312523915;86.5698549;101.1562888;879.3264051;151.8948466;204.305213;379.3366365;260.1291566;97.88888549;61.41901977;68.78776524;120.6735949;14.62966318;3.591985627;2.235387645;25.65934681;0.224196667;4.492501333;1.746004604;8.61378;75;46.60474;28.63438;0.05;0.02;;8.155260387;2.891573605;12.74085331;2.904177823;7.931068391;7.013650136;6.495170812;8.854644784;7.853024786
Grünfutter;Knaulgras;DA21-v;folgende;1;170;6.096371005;6.252906044;10.4141257;105.3585557;122.7150855;892.1307526;183.8808578;260.3773296;514.9706458;291.0168043;93.22;75.77471366;71.22276349;107.8692474;3.77;4.622687579;2.15;44.14401421;;;;;;;;;;;10.41184472;3.001295387;14.80869552;3.44971988;9.274723151;8.332354916;7.092931616;10;9.524133972
Grünfutter;Knaulgras;DA22-v;folgende;2;180;5.936300981;6.04372783;10.19130483;101.3490905;110.5325081;899.947;165.8105138;266.958;518.372;294.83;90.414;74.15337289;69.66238091;100.053;4.26;4.290578624;2.09;35.34050055;;;;;;;;;;;9.8;2.9;14;3.2;8.5;8;6.5;9;9
Grünfutter;Knaulgras;DA23-v;folgende;3;200;5.532173143;5.527865129;9.611274776;93.75261953;94.63217131;905.310417;142.36;294.5626293;547.1442588;322.0141506;87.608;70.20341165;67.55163554;94.68958302;4.56;4.1;2.04;32.64564827;;;;;;;;;;;8.3;2.5;12;2.75;7.5;6.7;5.6;7.7;7.8
Grünfutter;Knaulgras;DA24-v;folgende;4;210;5.095120234;4.98034931;8.966997548;85.22010491;79.8472205;906.614;120.63;304.736;574.444;337.98;84.802;65.63135604;65.4864678;93.386;4.67;3.9280508;2.01;31.533;;;;;;;;;;;6.830405535;1.968917629;9.714839059;2.263094234;6.084428074;5.466213206;4.6531235;6.261715059;6.248047211
Grünfutter;Knaulgras;DA25-v;folgende;5;220;4.768678209;4.580141997;8.472989321;75.08439782;59.85879757;909.9475;91.25418354;334.2048256;623.2072772;377.8367302;71.425608;61.78841724;62.42792923;90.0525;4.58;3.539105199;1.99;31;;;;;;;;;;;5.167065243;1.489446826;7.349081543;1.711985548;4.602748207;4.135081018;3.519994909;4.736862266;4.726522813
Grünfutter;Englisches Raigras ;LP21-v;folgende;1;160;6.213440476;6.410806514;10.57084012;105.1140519;116.6982406;893.1301567;174.9362379;222.3239522;427.08766;249.6840456;141.7637462;77.30881375;70.50841914;106.8698433;4.55;4.444080343;2.07;39.75878154;;;;;;;;;;;10.64269477;2.944823311;15.34407936;3.926431081;9.041124199;8.162843563;7.749535028;10.53936764;8.989460632
Grünfutter;Englisches Raigras ;LP22-v;folgende;2;170;6.146510646;6.313588427;10.48924893;103.4434425;111.029483;902.0444;166.5512952;223.928;435.3566914;254.406;168.6944913;76.27889729;69.69159005;97.9556;4.64;3.941809731;2.16;33.09807951;;;;;;;;;;;10.06240629;2.73471372;13.97566984;3.341894364;8.778734279;7.723878956;6.651558538;8.904219418;8.604137146
Grünfutter;Englisches Raigras ;LP23-v;folgende;3;189.813;5.812045526;5.882855504;10.01601667;96.59601127;95.22693964;909;143.248;230.9585836;469.1956582;269.6680791;153.6213668;73.02270425;67.57937687;91;4.64;3.630231819;2.16;29.02763468;;;;;;;;;;;9;2.6;12;3;7.8;7;5.8;7.8;8
Grünfutter;Englisches Raigras ;LP24-v;folgende;4;210;5.616206244;5.630636336;9.737162481;91.40116173;83.94707359;915.1753008;126.684;244.6760141;504.08;291.902;135.8893763;70.60165377;65.9590246;84.82469921;4.55;3.4;2.07;27.8;;;;;;;;;;;7.20175347;2.348397871;10.64607035;2.504957729;6.732073896;5.949274606;5.009915458;6.888633754;7.045193612
Grünfutter;Englisches Raigras ;LP25-v;folgende;5;220;5.038317175;4.896443663;8.895564798;81.46761227;70.05622036;920;106.2954557;277.4922982;559.7819206;330.2891415;117.4084975;64.16119557;63.88897434;80;4.36;3.137359697;1.89;26.713999;;;;;;;;;;;6.052994274;1.794131249;8.731335023;2.106219561;5.406644251;4.77921565;4.201147084;5.748876446;5.503087627
Grünfutter;Italienisches Raigras;LM21-v;folgende;1;110;6.141275557;6.324665572;10.4615015;103.7980248;114.1834033;890.0157435;171.198;210;429.0143569;254.1626237;174.5183187;76.86992278;70.25658826;109.9842565;4.59;4.759141128;2.28;42.87727402;;;;;;;;;;;8.238818746;3.209929382;12.3047293;2.888936443;8.1318211;6.740851701;6.312861117;8.880804622;8.880804622
Grünfutter;Italienisches Raigras;LM22-v;folgende;2;150.3;5.936119306;6.056665702;10.17632768;98.33319669;98.34179612;899.8328896;147.806;232.934;452.396;263.498;168.0311509;74.8133731;68.11932239;100.1671104;4.45;3.996555129;2.39;34.48187214;;;;;;;;;;;7.604976229;2.927318418;11.45514065;2.818867406;7.6521092;6.63342182;5.765722617;8.067997442;7.931950252
Grünfutter;Italienisches Raigras;LM23-v;folgende;3;190;5.445158276;5.412090761;9.490610065;89.66432503;83.31110432;914.5122927;125.7472738;262.8204809;505.1420791;297.2969753;143.697264;68.86385491;65.87830044;85.4877073;4.34;3.513797034;2.38;26.7975011;;;;;;;;;;;6.761107534;2.5;10.30264005;2.468340846;6.439150032;5.902554196;5.044000859;7;6.8
Grünfutter;Italienisches Raigras;LM24-v;folgende;4;220;4.684007553;4.444570566;8.374655466;76.98215642;66.45704352;925.3305044;101.022;289.4619198;570.2639957;334.9254251;144.8164433;60.05605734;63.28726593;74.66949561;4.25;3.081325616;2.26;22.5916457;;;;;;;;;;;5.197826263;2.000754781;7.829325053;1.92663101;5.230040564;4.53379118;3.94073874;5.514290608;5.421305484
Grünfutter;Italienisches Raigras;LM25-v;folgende;5;260;4.217561365;3.875408038;7.656763665;66.54313639;50.60058062;927.627094;77.63;291.1231438;569.3020103;336.5264812;125.2772107;54.77199565;60.76403371;72.37290603;4.19;2.47339136;2.01;19.06369022;;;;;;;;;;;4.072883173;1.500535906;6.109324759;1.607717042;4.394426581;3.751339764;3.108252947;4.180064309;3.965702036
Grünfutter;Wiesen-Fuchsschwanz;AP21-v;folgende;1;170;5.769788617;5.793215799;9.994185856;105.5981998;136.46896;904.2481;204.428624;266.3238793;506.0832531;296.3738886;56.6345082;70.65529938;72.53011416;95.7519;2.5;4.514401797;1.57;41.1404738;;;;;;;;;;;12.46019547;4.655630721;19.15121976;4.344281496;12.6018334;10.73005384;9.780127385;13.58961472;13.32221764
Grünfutter;Wiesen-Fuchsschwanz;AP22-v;folgende;2;190;5.361663403;5.286396277;9.389580521;97.62811092;116.9927669;905.3822;175.3969874;272.7624;519.2378757;303.1462;64.53291571;67.07477277;70.35538171;94.6178;2.75;4.055936887;1.56;34.38021259;;;;;;;;;;;10.69067876;3.99446803;16.43148687;3.727334617;10.81220219;9.206240703;8.391216682;11.65970516;11.43028209
